Season,WTeamID,W_seed,LTeamID,L_seed
1985,1116,9,1234,8
1985,1120,11,1345,6
1985,1207,1,1250,16
1985,1229,9,1425,8
1985,1242,3,1325,14
1985,1246,12,1449,5
1985,1256,5,1338,12
1985,1260,4,1233,13
1985,1314,2,1292,15
1985,1323,7,1333,10
1985,1326,4,1235,13
1985,1328,1,1299,16
1985,1374,5,1330,12
1985,1385,1,1380,16
1985,1396,8,1439,9
1985,1424,4,1361,13
1985,1104,7,1112,10
1985,1130,11,1403,6
1985,1181,3,1337,14
1985,1208,6,1455,11
1985,1210,2,1273,15
1985,1228,3,1318,14
1985,1268,5,1275,12
1985,1272,2,1335,15
1985,1276,1,1192,16
1985,1298,13,1261,4
1985,1301,3,1305,14
1985,1393,7,1177,10
1985,1412,7,1277,10
1985,1431,11,1409,6
1985,1433,2,1267,15
1985,1437,8,1173,9
1985,1120,11,1242,3
1985,1207,1,1396,8
1985,1246,12,1424,4
1985,1256,5,1326,4
1985,1260,4,1374,5
1985,1314,2,1323,7
1985,1328,1,1229,9
1985,1385,1,1116,9
1985,1104,7,1433,2
1985,1130,11,1181,3
1985,1210,2,1393,7
1985,1228,3,1208,6
1985,1268,5,1298,13
1985,1272,2,1412,7
1985,1301,3,1431,11
1985,1437,8,1276,1
1985,1207,1,1260,4
1985,1210,2,1228,3
1985,1272,2,1130,11
1985,1328,1,1256,5
1985,1301,3,1104,7
1985,1314,2,1120,11
1985,1385,1,1246,12
1985,1437,8,1268,5
1985,1207,1,1210,2
1985,1272,2,1328,1
1985,1385,1,1301,3
1985,1437,8,1314,2
1985,1207,1,1385,1
1985,1437,8,1272,2
1985,1437,8,1207,1
1986,1133,7,1431,10
1986,1177,12,1438,5
1986,1181,1,1290,16
1986,1207,4,1403,13
1986,1210,2,1265,15
1986,1242,1,1299,16
1986,1257,2,1180,15
1986,1261,11,1345,6
1986,1272,3,1123,14
1986,1277,5,1449,12
1986,1314,3,1428,14
1986,1328,4,1318,13
1986,1330,8,1452,9
1986,1396,9,1239,8
1986,1412,6,1281,11
1986,1437,10,1439,7
1986,1104,5,1462,12
1986,1114,14,1323,3
1986,1120,8,1112,9
1986,1156,14,1231,3
1986,1228,4,1193,13
1986,1235,7,1275,10
1986,1246,1,1172,16
1986,1268,5,1337,12
1986,1276,2,1103,15
1986,1298,7,1409,10
1986,1301,6,1234,11
1986,1385,1,1286,16
1986,1386,6,1350,11
1986,1393,2,1135,15
1986,1424,4,1419,13
1986,1443,8,1304,9
1986,1177,12,1328,4
1986,1181,1,1330,8
1986,1210,2,1437,10
1986,1242,1,1396,9
1986,1257,2,1133,7
1986,1261,11,1272,3
1986,1277,5,1207,4
1986,1314,3,1412,6
1986,1104,5,1228,4
1986,1120,8,1385,1
1986,1156,14,1386,6
1986,1235,7,1276,2
1986,1246,1,1443,8
1986,1298,7,1393,2
1986,1301,6,1114,14
1986,1424,4,1268,5
1986,1120,8,1424,4
1986,1246,1,1104,5
1986,1257,2,1314,3
1986,1261,11,1210,2
1986,1181,1,1177,12
1986,1242,1,1277,5
1986,1298,7,1156,14
1986,1301,6,1235,7
1986,1257,2,1120,8
1986,1261,11,1246,1
1986,1181,1,1298,7
1986,1242,1,1301,6
1986,1181,1,1242,1
1986,1257,2,1261,11
1986,1257,2,1181,1
1987,1104,2,1299,15
1987,1120,8,1360,9
1987,1122,14,1228,3
1987,1181,5,1401,12
1987,1231,1,1193,16
1987,1243,9,1208,8
1987,1276,9,1298,8
1987,1309,7,1140,10
1987,1314,1,1335,16
1987,1323,5,1292,12
1987,1344,6,1412,11
1987,1395,4,1267,13
1987,1417,4,1141,13
1987,1424,1,1226,16
1987,1461,12,1438,5
1987,1462,13,1281,4
1987,1177,3,1256,14
1987,1196,6,1301,11
1987,1207,1,1137,16
1987,1234,2,1365,15
1987,1242,5,1222,12
1987,1261,10,1210,7
1987,1283,13,1155,4
1987,1326,9,1246,8
1987,1328,6,1409,11
1987,1338,3,1265,14
1987,1345,3,1318,14
1987,1385,6,1455,11
1987,1393,2,1204,15
1987,1396,2,1380,15
1987,1431,7,1112,10
1987,1443,10,1452,7
1987,1104,2,1309,7
1987,1181,5,1462,13
1987,1231,1,1120,8
1987,1314,1,1276,9
1987,1323,5,1395,4
1987,1344,6,1122,14
1987,1424,1,1243,9
1987,1461,12,1417,4
1987,1177,3,1385,6
1987,1196,6,1345,3
1987,1207,1,1326,9
1987,1234,2,1431,7
1987,1242,5,1283,13
1987,1261,10,1396,2
1987,1328,6,1338,3
1987,1393,2,1443,10
1987,1207,1,1242,5
1987,1314,1,1323,5
1987,1344,6,1104,2
1987,1393,2,1196,6
1987,1231,1,1181,5
1987,1234,2,1328,6
1987,1261,10,1177,3
1987,1424,1,1461,12
1987,1344,6,1207,1
1987,1393,2,1314,1
1987,1231,1,1261,10
1987,1424,1,1234,2
1987,1231,1,1424,1
1987,1393,2,1344,6
1987,1231,1,1393,2
1988,1120,8,1133,9
1988,1140,4,1150,13
1988,1177,5,1455,12
1988,1181,2,1131,15
1988,1196,6,1385,11
1988,1243,4,1247,13
1988,1257,5,1333,12
1988,1258,10,1461,7
1988,1272,9,1124,8
1988,1276,3,1129,14
1988,1314,2,1317,15
1988,1328,1,1151,16
1988,1345,1,1192,16
1988,1348,11,1281,6
1988,1374,7,1323,10
1988,1393,3,1299,14
1988,1112,1,1165,16
1988,1207,8,1261,9
1988,1210,5,1235,12
1988,1228,3,1427,14
1988,1234,5,1199,12
1988,1242,6,1462,11
1988,1246,2,1380,15
1988,1268,7,1364,10
1988,1293,14,1301,3
1988,1338,2,1185,15
1988,1350,13,1231,4
1988,1371,8,1431,9
1988,1396,1,1250,16
1988,1424,4,1283,13
1988,1435,7,1429,10
1988,1437,6,1116,11
1988,1181,2,1374,7
1988,1243,4,1177,5
1988,1257,5,1140,4
1988,1276,3,1196,6
1988,1314,2,1258,10
1988,1328,1,1120,8
1988,1345,1,1272,9
1988,1348,11,1393,3
1988,1112,1,1371,8
1988,1234,5,1424,4
1988,1242,6,1293,14
1988,1246,2,1268,7
1988,1350,13,1210,5
1988,1396,1,1207,8
1988,1435,7,1338,2
1988,1437,6,1228,3
1988,1181,2,1348,11
1988,1328,1,1257,5
1988,1396,1,1350,13
1988,1437,6,1246,2
1988,1112,1,1234,5
1988,1242,6,1435,7
1988,1243,4,1345,1
1988,1314,2,1276,3
1988,1181,2,1396,1
1988,1328,1,1437,6
1988,1112,1,1314,2
1988,1242,6,1243,4
1988,1242,6,1181,2
1988,1328,1,1112,1
1988,1242,6,1328,1
1989,1112,1,1352,16
1989,1116,5,1258,12
1989,1123,9,1338,8
1989,1155,9,1388,8
1989,1177,12,1272,5
1989,1181,2,1354,15
1989,1228,1,1270,16
1989,1256,9,1247,8
1989,1257,4,1114,13
1989,1278,11,1243,6
1989,1292,13,1199,4
1989,1328,1,1190,16
1989,1373,14,1390,3
1989,1424,4,1225,13
1989,1438,5,1344,12
1989,1452,7,1397,10
1989,1161,10,1196,7
1989,1191,11,1333,6
1989,1207,1,1343,16
1989,1231,2,1206,15
1989,1234,4,1353,13
1989,1276,3,1462,14
1989,1281,3,1166,14
1989,1301,5,1376,12
1989,1314,2,1380,15
1989,1323,9,1435,8
1989,1371,3,1283,14
1989,1375,11,1104,6
1989,1393,2,1137,15
1989,1400,11,1210,6
1989,1417,7,1235,10
1989,1431,7,1261,10
1989,1112,1,1155,9
1989,1181,2,1452,7
1989,1228,1,1123,9
1989,1257,4,1116,5
1989,1278,11,1373,14
1989,1328,1,1256,9
1989,1424,4,1177,12
1989,1438,5,1292,13
1989,1207,1,1323,9
1989,1231,2,1431,7
1989,1276,3,1375,11
1989,1281,3,1400,11
1989,1301,5,1234,4
1989,1314,2,1417,7
1989,1371,3,1191,11
1989,1393,2,1161,10
1989,1276,3,1314,2
1989,1371,3,1231,2
1989,1424,4,1112,1
1989,1438,5,1328,1
1989,1181,2,1278,11
1989,1207,1,1301,5
1989,1228,1,1257,4
1989,1393,2,1281,3
1989,1276,3,1438,5
1989,1371,3,1424,4
1989,1181,2,1207,1
1989,1228,1,1393,2
1989,1276,3,1228,1
1989,1371,3,1181,2
1989,1276,3,1371,3
1990,1116,4,1343,13
1990,1123,12,1333,5
1990,1143,9,1231,8
1990,1155,5,1140,12
1990,1163,1,1131,16
1990,1173,12,1228,5
1990,1210,4,1190,13
1990,1247,4,1379,13
1990,1257,4,1225,13
1990,1261,5,1437,12
1990,1277,1,1293,16
1990,1314,8,1283,9
1990,1326,8,1344,9
1990,1328,1,1406,16
1990,1364,9,1222,8
1990,1424,1,1114,16
1990,1104,7,1161,10
1990,1112,2,1378,15
1990,1181,3,1350,14
1990,1207,3,1411,14
1990,1242,2,1352,15
1990,1258,11,1308,6
1990,1276,3,1229,14
1990,1278,6,1431,11
1990,1320,14,1281,3
1990,1345,2,1419,15
1990,1385,6,1396,11
1990,1393,2,1164,15
1990,1400,10,1208,7
1990,1417,7,1412,10
1990,1438,7,1323,10
1990,1462,6,1243,11
1990,1116,4,1173,12
1990,1123,12,1257,4
1990,1155,5,1247,4
1990,1163,1,1143,9
1990,1210,4,1261,5
1990,1277,1,1364,9
1990,1314,8,1328,1
1990,1424,1,1326,8
1990,1104,7,1112,2
1990,1181,3,1385,6
1990,1258,11,1276,3
1990,1278,6,1320,14
1990,1393,2,1438,7
1990,1400,10,1345,2
1990,1417,7,1242,2
1990,1462,6,1207,3
1990,1116,4,1314,8
1990,1163,1,1155,5
1990,1181,3,1417,7
1990,1400,10,1462,6
1990,1210,4,1277,1
1990,1258,11,1104,7
1990,1278,6,1393,2
1990,1424,1,1123,12
1990,1116,4,1400,10
1990,1181,3,1163,1
1990,1210,4,1278,6
1990,1424,1,1258,11
1990,1181,3,1116,4
1990,1424,1,1210,4
1990,1424,1,1181,3
1991,1112,2,1384,15
1991,1140,10,1438,7
1991,1163,11,1261,6
1991,1166,11,1308,6
1991,1181,2,1419,15
1991,1199,7,1425,10
1991,1231,2,1157,15
1991,1234,7,1190,10
1991,1242,3,1309,14
1991,1301,6,1379,11
1991,1329,3,1307,14
1991,1338,6,1208,11
1991,1350,15,1393,2
1991,1371,3,1337,14
1991,1396,10,1345,7
1991,1462,14,1304,3
1991,1104,4,1293,13
1991,1113,8,1353,9
1991,1116,1,1209,16
1991,1185,12,1280,5
1991,1207,8,1435,9
1991,1210,8,1177,9
1991,1277,5,1453,12
1991,1314,1,1318,16
1991,1326,1,1406,16
1991,1336,13,1417,4
1991,1385,4,1296,13
1991,1400,5,1389,12
1991,1424,1,1285,16
1991,1428,4,1375,13
1991,1437,9,1343,8
1991,1448,5,1256,12
1991,1112,2,1140,10
1991,1163,11,1462,14
1991,1181,2,1234,7
1991,1231,2,1199,7
1991,1242,3,1338,6
1991,1329,3,1301,6
1991,1371,3,1166,11
1991,1396,10,1350,15
1991,1104,4,1448,5
1991,1116,1,1113,8
1991,1185,12,1336,13
1991,1314,1,1437,9
1991,1326,1,1210,8
1991,1385,4,1400,5
1991,1424,1,1207,8
1991,1428,4,1277,5
1991,1116,1,1104,4
1991,1242,3,1231,2
1991,1371,3,1112,2
1991,1424,1,1428,4
1991,1181,2,1163,11
1991,1314,1,1185,12
1991,1385,4,1326,1
1991,1396,10,1329,3
1991,1242,3,1116,1
1991,1424,1,1371,3
1991,1181,2,1385,4
1991,1314,1,1396,10
1991,1181,2,1424,1
1991,1242,3,1314,1
1991,1181,2,1242,3
1992,1104,5,1390,12
1992,1116,3,1293,14
1992,1163,9,1304,8
1992,1181,1,1144,16
1992,1199,3,1285,14
1992,1207,6,1378,11
1992,1210,7,1222,10
1992,1231,2,1183,15
1992,1234,9,1400,8
1992,1261,7,1140,10
1992,1272,6,1337,11
1992,1281,5,1452,12
1992,1314,4,1275,13
1992,1326,1,1290,16
1992,1371,4,1247,13
1992,1425,2,1419,15
1992,1153,4,1174,13
1992,1190,14,1112,3
1992,1235,10,1150,7
1992,1242,1,1224,16
1992,1246,2,1330,15
1992,1257,8,1448,9
1992,1269,3,1200,14
1992,1276,6,1396,11
1992,1277,5,1283,12
1992,1308,12,1177,5
1992,1329,2,1204,15
1992,1393,6,1343,11
1992,1408,10,1385,7
1992,1417,1,1352,16
1992,1418,13,1328,4
1992,1431,9,1191,8
1992,1181,1,1234,9
1992,1199,3,1207,6
1992,1210,7,1425,2
1992,1231,2,1261,7
1992,1272,6,1116,3
1992,1314,4,1104,5
1992,1326,1,1163,9
1992,1371,4,1281,5
1992,1153,4,1277,5
1992,1246,2,1235,10
1992,1269,3,1393,6
1992,1276,6,1190,14
1992,1308,12,1418,13
1992,1329,2,1408,10
1992,1417,1,1257,8
1992,1431,9,1242,1
1992,1181,1,1371,4
1992,1231,2,1199,3
1992,1246,2,1269,3
1992,1417,1,1308,12
1992,1153,4,1431,9
1992,1272,6,1210,7
1992,1276,6,1329,2
1992,1326,1,1314,4
1992,1181,1,1246,2
1992,1231,2,1417,1
1992,1153,4,1272,6
1992,1276,6,1326,1
1992,1181,1,1231,2
1992,1276,6,1153,4
1992,1181,1,1276,6
1993,1116,4,1221,13
1993,1140,7,1374,10
1993,1143,6,1261,11
1993,1181,3,1356,14
1993,1199,3,1191,14
1993,1228,6,1253,11
1993,1242,2,1123,15
1993,1314,1,1187,16
1993,1348,8,1345,9
1993,1365,15,1112,2
1993,1371,2,1398,15
1993,1385,5,1403,12
1993,1396,7,1281,10
1993,1408,11,1243,6
1993,1435,3,1129,14
1993,1443,7,1272,10
1993,1153,2,1164,15
1993,1203,12,1307,5
1993,1231,1,1460,16
1993,1234,4,1419,13
1993,1246,1,1351,16
1993,1257,4,1174,13
1993,1269,3,1335,14
1993,1276,1,1157,16
1993,1308,7,1304,10
1993,1329,5,1266,12
1993,1380,13,1210,4
1993,1417,9,1235,8
1993,1428,8,1338,9
1993,1438,6,1264,11
1993,1448,5,1151,12
1993,1462,9,1309,8
1993,1116,4,1385,5
1993,1143,6,1181,3
1993,1199,3,1408,11
1993,1242,2,1140,7
1993,1314,1,1348,8
1993,1396,7,1365,15
1993,1435,3,1228,6
1993,1443,7,1371,2
1993,1153,2,1308,7
1993,1203,12,1380,13
1993,1231,1,1462,9
1993,1246,1,1428,8
1993,1257,4,1329,5
1993,1276,1,1417,9
1993,1438,6,1269,3
1993,1448,5,1234,4
1993,1199,3,1443,7
1993,1231,1,1257,4
1993,1242,2,1143,6
1993,1246,1,1448,5
1993,1153,2,1438,6
1993,1276,1,1203,12
1993,1314,1,1116,4
1993,1396,7,1435,3
1993,1242,2,1231,1
1993,1246,1,1199,3
1993,1276,1,1396,7
1993,1314,1,1153,2
1993,1276,1,1246,1
1993,1314,1,1242,2
1993,1314,1,1276,1
1994,1104,9,1344,8
1994,1163,2,1351,15
1994,1196,3,1241,14
1994,1203,10,1412,7
1994,1242,4,1151,13
1994,1268,10,1387,7
1994,1269,2,1402,15
1994,1276,3,1337,14
1994,1281,1,1298,16
1994,1335,11,1304,6
1994,1345,1,1416,16
1994,1393,4,1218,13
1994,1400,6,1443,11
1994,1448,5,1158,12
1994,1453,12,1143,5
1994,1458,9,1153,8
1994,1112,2,1259,15
1994,1116,1,1299,16
1994,1130,9,1450,8
1994,1181,2,1411,15
1994,1207,9,1228,8
1994,1231,5,1325,12
1994,1246,3,1398,14
1994,1257,3,1129,14
1994,1266,6,1418,11
1994,1277,7,1371,10
1994,1278,6,1356,11
1994,1314,1,1251,16
1994,1329,4,1308,13
1994,1396,4,1180,13
1994,1409,12,1417,5
1994,1438,7,1307,10
1994,1163,2,1203,10
1994,1196,3,1335,11
1994,1242,4,1448,5
1994,1268,10,1269,2
1994,1276,3,1400,6
1994,1281,1,1458,9
1994,1345,1,1104,9
1994,1393,4,1453,12
1994,1112,2,1438,7
1994,1116,1,1207,9
1994,1130,9,1314,1
1994,1181,2,1277,7
1994,1231,5,1396,4
1994,1257,3,1278,6
1994,1266,6,1246,3
1994,1409,12,1329,4
1994,1112,2,1257,3
1994,1181,2,1266,6
1994,1281,1,1393,4
1994,1345,1,1242,4
1994,1116,1,1409,12
1994,1130,9,1231,5
1994,1196,3,1163,2
1994,1276,3,1268,10
1994,1112,2,1281,1
1994,1181,2,1345,1
1994,1116,1,1276,3
1994,1196,3,1130,9
1994,1116,1,1112,2
1994,1181,2,1196,3
1994,1116,1,1181,2
1995,1104,5,1335,12
1995,1113,5,1123,12
1995,1153,7,1396,10
1995,1163,2,1151,15
1995,1242,1,1159,16
1995,1246,1,1291,16
1995,1264,13,1328,4
1995,1268,3,1211,14
1995,1275,12,1112,5
1995,1329,4,1180,13
1995,1387,9,1278,8
1995,1400,11,1332,6
1995,1408,9,1140,8
1995,1438,4,1311,13
1995,1443,8,1276,9
1995,1448,1,1299,16
1995,1116,2,1411,15
1995,1207,6,1462,11
1995,1235,7,1196,10
1995,1269,2,1389,15
1995,1272,6,1257,11
1995,1280,5,1365,12
1995,1281,8,1231,9
1995,1314,2,1293,15
1995,1330,14,1437,3
1995,1345,3,1453,14
1995,1390,10,1150,7
1995,1393,7,1356,10
1995,1409,6,1228,11
1995,1417,1,1198,16
1995,1428,4,1253,13
1995,1451,14,1277,3
1995,1113,5,1264,13
1995,1163,2,1153,7
1995,1242,1,1443,8
1995,1246,1,1408,9
1995,1268,3,1400,11
1995,1329,4,1104,5
1995,1438,4,1275,12
1995,1448,1,1387,9
1995,1116,2,1393,7
1995,1207,6,1451,14
1995,1269,2,1390,10
1995,1272,6,1345,3
1995,1280,5,1428,4
1995,1314,2,1235,7
1995,1409,6,1330,14
1995,1417,1,1281,8
1995,1163,2,1268,3
1995,1246,1,1113,5
1995,1314,2,1207,6
1995,1417,1,1280,5
1995,1116,2,1272,6
1995,1269,2,1409,6
1995,1329,4,1448,1
1995,1438,4,1242,1
1995,1314,2,1246,1
1995,1417,1,1163,2
1995,1116,2,1438,4
1995,1329,4,1269,2
1995,1116,2,1314,2
1995,1417,1,1329,4
1995,1417,1,1116,2
1996,1116,12,1336,5
1996,1163,1,1159,16
1996,1180,12,1272,5
1996,1185,9,1181,8
1996,1208,8,1155,9
1996,1235,5,1143,12
1996,1246,1,1363,16
1996,1266,4,1284,13
1996,1269,1,1416,16
1996,1280,5,1433,12
1996,1343,13,1417,4
1996,1345,1,1441,16
