Season,Seed,TeamID,parse_seed
2018,W01,1437,1
2018,W02,1345,2
2018,W03,1403,3
2018,W04,1455,4
2018,W05,1452,5
2018,W06,1196,6
2018,W07,1116,7
2018,W08,1439,8
2018,W09,1104,9
2018,W10,1139,10
2018,W11a,1382,11
2018,W11b,1417,11
2018,W12,1293,12
2018,W13,1267,13
2018,W14,1372,14
2018,W15,1168,15
2018,W16a,1254,16
2018,W16b,1347,16
2018,X01,1242,1
2018,X02,1181,2
2018,X03,1277,3
2018,X04,1120,4
2018,X05,1155,5
2018,X06,1395,6
2018,X07,1348,7
2018,X08,1371,8
2018,X09,1301,9
2018,X10,1328,10
2018,X11a,1113,11
2018,X11b,1393,11
2018,X12,1308,12
2018,X13,1158,13
2018,X14,1137,14
2018,X15,1233,15
2018,X16,1335,16
2018,Y01,1438,1
2018,Y02,1153,2
2018,Y03,1397,3
2018,Y04,1112,4
2018,Y05,1246,5
2018,Y06,1274,6
2018,Y07,1305,7
2018,Y08,1166,8
2018,Y09,1243,9
2018,Y10,1400,10
2018,Y11,1260,11
2018,Y12,1172,12
2018,Y13,1138,13
2018,Y14,1460,14
2018,Y15,1209,15
2018,Y16,1420,16
2018,Z01,1462,1
2018,Z02,1314,2
2018,Z03,1276,3
2018,Z04,1211,4
2018,Z05,1326,5
2018,Z06,1222,6
2018,Z07,1401,7
2018,Z08,1281,8
2018,Z09,1199,9
2018,Z10,1344,10
2018,Z11,1361,11
2018,Z12,1355,12
2018,Z13,1422,13
2018,Z14,1285,14
2018,Z15,1252,15
2018,Z16a,1300,16
2018,Z16b,1411,16